Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2018,Toyota,Agya,1.2,44966,Automatic,116000000
2018,Toyota,Agya,1.2,22400,Manual,115000000
2018,Toyota,Agya,1.2,16800,Manual,114000000
2018,Toyota,Agya,1.2,10000,Manual,99000000
2018,Toyota,Agya,1.2,60631,Automatic,126495000
2018,Toyota,Agya,1.2,40007,Automatic,126495000
2018,Toyota,Agya,1.2,38102,Manual,113213000
2018,Toyota,Agya,1.2,30583,Manual,117800000
2018,Toyota,Agya,1.2,19298,Manual,119310000
2018,Toyota,Agya,1.2,49007,Automatic,128800000
2018,Toyota,Agya,1.2,63783,Manual,117370000
2018,Toyota,Agya,1.2,28218,Automatic,129400000
2018,Toyota,Agya,1.2,4892,Automatic,129100000
2018,Toyota,Agya,1.2,17688,Manual,109416000
2018,Toyota,Agya,1.2,65000,Automatic,129495000
2018,Toyota,Agya,1.2,65000,Manual,121000000
2018,Toyota,Agya,1.2,35000,Manual,121500000
2018,Toyota,Agya,1.2,50000,Automatic,133500000
2018,Toyota,Agya,1.2,45000,Automatic,129495000
2018,Toyota,Agya,1.2,20000,Manual,119310000
2018,Toyota,Agya,1.2,50000,Automatic,134500000
2018,Toyota,Agya,1.2,15000,Manual,120000000
2018,Toyota,Agya,1.2,40000,Manual,119213000
2018,Toyota,Agya,1.2,30000,Automatic,133500000
2018,Toyota,Agya,1.2,20000,Manual,109416000
2018,Toyota,Agya,1.2,50000,Automatic,133500000
2018,Toyota,Agya,1.2,45000,Automatic,124000000
2018,Toyota,Agya,1.2,50000,Automatic,129000000
2018,Toyota,Agya,1.2,65000,Automatic,133500000
2018,Toyota,Agya,1.2,60631,Automatic,123995000
2018,Toyota,Agya,1.2,65000,Automatic,128000000
2018,Toyota,Agya,1.2,65000,Automatic,128000000
2018,Toyota,Agya,1.2,65000,Automatic,128000000
2018,Toyota,Agya,1.2,65000,Automatic,128000000
2018,Toyota,Agya,1.2,45000,Automatic,123000000
2018,Toyota,Agya,1.2,30000,Automatic,133500000
2018,Toyota,Agya,1.2,65000,Automatic,123000000
2019,Toyota,Agya,1.2,44800,Automatic,138000000
2019,Toyota,Agya,1.2,22400,Automatic,135000000
2019,Toyota,Agya,1.2,15533,Automatic,132000000
2019,Toyota,Agya,1.2,11983,Automatic,131000000
2019,Toyota,Agya,1.2,67200,Automatic,128000000
2019,Toyota,Agya,1.2,22400,Automatic,125000000
2019,Toyota,Agya,1.2,16800,Automatic,124000000
2019,Toyota,Agya,1.2,57231,Manual,116026000
2019,Toyota,Agya,1.2,22975,Manual,126100000
2019,Toyota,Agya,1.2,20483,Manual,121153000
2019,Toyota,Agya,1.2,5653,Manual,116206000
2019,Toyota,Agya,1.2,13834,Manual,127846000
2019,Toyota,Agya,1.2,7826,Automatic,139100000
2019,Toyota,Agya,1.2,43517,Automatic,139680000
2019,Toyota,Agya,1.2,2433,Automatic,135800000
2019,Toyota,Agya,1.2,60000,Manual,122026000
2019,Toyota,Agya,1.2,25000,Manual,130000000
2019,Toyota,Agya,1.2,15000,Manual,127846000
2019,Toyota,Agya,1.2,45000,Automatic,139680000
2019,Toyota,Agya,1.2,10000,Automatic,143500000
2019,Toyota,Agya,1.2,60000,Manual,116206000
2019,Toyota,Agya,1.2,25000,Automatic,140000000
2019,Toyota,Agya,1.2,25000,Manual,121153000
2019,Toyota,Agya,1.2,27000,Automatic,125000000
2019,Toyota,Agya,1.2,15000,Automatic,133000000
